Claim Type,Sentence
Claim of Interests/Values,"Unser Ziel ist es, allen Schüler*innen neue Arten des Lernens zu ermöglichen und sie auch auf eine selbstbestimmte und gesunde Teilhabe in einer digitalisierten Welt vorzubereiten."
Claim of Interests/Values,"Unser Ziel ist ein Bildungssystem, das überall und für alle gute Ausgangsbedingungen für eine gebührenfreie, zukunftsgerichtete und inklusive Bildung sichert"
Claim of Interests/Values,"Unser Ziel ist ein moderner, engagierter Staat, der mit einer effizienten, zugänglichen Verwaltung transparent, offen und in der Lage ist, Krisen effektiv zu managen, digitale Teilhabe zu sichern und es den Bürger*innen insgesamt leicht macht, ihren Alltag zu bewältigen und ihre Rechte in Anspruch zu nehmen."
Claim of Interests/Values,"Unser Ziel ist eine Gesellschaft, in der alle Menschen ohne Angst verschieden sein können."
Claim of Interests/Values,"Wir stehen für eine rationale Sicherheits- und Kriminalpolitik, die Rechtsgüter vor realen Beeinträchtigungen schützt, konkrete Gefahren anlassbezogen und zielgerichtet abwehrt sowie eine verhältnismäßige Strafverfolgung gewährleistet,"
Claim of Interests/Values,"Unser Ziel ist eine demokratisch gestärkte EU, die zusammenhält, voranschreitet"
Claim of Interests/Values,"Unser Ziel ist, die parlamentarische Demokratie der Europäischen Union zu stärken: mit einem Parlament, das in allen Bereichen gleichberechtigt mit dem Rat entscheidet, ein vollwertiges Initiativrecht für die Gesetzgebung und ein starkes Haushaltsrecht erhält."
Claim of Interests/Values,"Unser Ziel ist es, die europäischen Institutionen zu einem Zweikammersystem weiterzuentwickeln."
Claim of Interests/Values,"Unser Ziel ist eine Weltordnung, in der Konflikte nicht über das Recht des Stärkeren, sondern am Verhandlungstisch gelöst werden."
Claim of Interests/Values,"Unser Ziel ist es, dass alle jungen Menschen während ihrer Schul-, Ausbildungs- oder Studienzeit die Möglichkeit haben, europäische bzw."
Claim of Interests/Values,"Wir stehen für eine Politik der Verlässlichkeit und der Ehrlichkeit, aber auch des Mutes – wir wollen verändern."
Claim of Interests/Values,"Wir stehen für eine gesellschaftliche Entwicklung, in der die Vorherrschaft des Kapitals durch demokratische, soziale und ökologische Kräfte überwunden wird und die Gesellschaft des demokratischen Sozialismus entsteht."
Claim of Interests/Values,Wir stehen für einen gesellschaftlichen Aufbruch nach der Pandemie – nach Jahren der Kürzungspolitik und Jahrzehnten ökologischer Zerstörung: Gemeinwohl vor Profite.
Claim of Interests/Values,"Wir stehen für unteilbare Solidarität mit Mehrheiten, die jeden Tag mit ihrer bezahlten und unbezahlten Arbeit, mit Herzblut und Hoffnung diese Gesellschaft am Laufen halten."
Claim of Interests/Values,Wir stehen für lebenswerte Städte und Dörfer für alle.
Claim of Interests/Values,"Unser Ziel ist klar: Mietenexplosion und Verdrängung stoppen,"
Claim of Interests/Values,"Unser Ziel ist es, dass die Industrie bis 2035 klimaneutral, nachhaltig und energieeffizient produziert"
Claim of Interests/Values,Unser Ziel ist der solidarisch finanzierte Nulltarif im ÖPNV für alle.
Claim of Interests/Values,Unser Ziel ist die Verlagerung weiterer Bereiche des öffentlich-rechtlichen Rundfunks in die ostdeutschen Bundesländer mit mehr Entscheider*innen mit Ostbiografie.
Claim of Interests/Values,"Wir setzen uns ein für eine öffentliche Mobilitätsplattform, auf der alle Angebote aus allen Verkehrsverbünden sichtbar und buchbar sind."
Claim of Interests/Values,"Unser Ziel ist ein grundlegender Politikwechsel – in Richtung globale Bewegungsfreiheit,"
Claim of Interests/Values,"Wir stehen für gerechte Wirtschaftsbeziehungen,"
Claim of Interests/Values,Unser Ziel ist: Recht auf Nahrung und Ernährungssouveränität für alle sowie ein Verbot von Patenten auf Saatgut!
Claim of Interests/Values,"Unser Ziel ist es, Stromerzeugung, Industrie, Verkehr, Gebäude und Landwirtschaft klimaneutral zu machen, ohne Menschen oder Regionen abzuhängen (vgl."
Claim of Interests/Values,"Unser Ziel ist, die Sichtbarkeit der Ostdeutschen in allen Bereichen zu erhöhen."
Claim of Interests/Values,"Unser Ziel ist eine Solaranlage auf jedem Supermarkt, jeder Schule und jedem Rathaus."
Claim of Interests/Values,Unser Ziel ist eine Mobilitätsgarantie:
Claim of Interests/Values,"Unser Ziel ist ein moderner, bürgernaher Staat, der allen Bürger*innen einen einfachen, digitalen Zugang zu seinen Dienstleistungen bietet."
Claim of Interests/Values,"Unser Ziel ist es, die Lehr- und Lernprozesse zu individualisieren,"
Claim of Interests/Values,Wir stehen für die digitale Souveränität von Bürger*innen und Verbraucher*innen ein.
Claim of Interests/Values,Wir setzen uns ein für eine europäische Cloud-Infrastruktur.
Claim of Interests/Values,"Wir stehen für eine Finanz- und Haushaltspolitik, die die großen Zukunftsinvestitionen finanziert und so zukunftsfähige Arbeitsplätze schafft,"
Claim of Interests/Values,Wir stehen für eine Gesellschaft des Respekts.
Claim of Interests/Values,Unser Ziel ist Vollbeschäftigung mit gerechten Löhnen.
Claim of Interests/Values,"Unser Ziel ist, alle Beschäftigungsverhältnisse in die soziale Sicherung einzubeziehen."
Claim of Interests/Values,"Unser Ziel ist es, die Zahl der Nachwuchskräfte in den erzieherischen Berufen bis 2030 bundesweit zu verdoppeln."
Claim of Interests/Values,"Unser Ziel ist es, die Leistungen ohne Hürden und Umwege zugänglich zu machen."
Claim of Interests/Values,"Wir setzen uns ein für gleiche Rechte von gleichgeschlechtlichen Partner*innen in der Ehe, insbesondere bei Adoptionen."
Claim of Interests/Values,"Unser Ziel ist, dafür zu sorgen, dass diese Selbstverständlichkeit und das Zusammengehörigkeitsgefühl in allen Bereichen der Gesellschaft sichtbar und spürbar werden."
Claim of Interests/Values,"Wir setzen uns ein für Biodiversitätspolitik, um Ökosysteme zu schützen und wiederherzustellen."
Claim of Interests/Values,"Unser Ziel ist es, gesunde und nachhaltige Ernährung für alle zu ermöglichen."
Claim of Interests/Values,"Unser Ziel ist es, Europa grundlegend zu stärken, damit wir in einer multipolaren Welt unsere Eigenständigkeit und unsere Art zu leben, auch in Zukunft bewahren."
Claim of Interests/Values,Wir stehen für eine humanitäre und solidarische Asyl- und Flüchtlingspolitik in der Europäischen Union.
Claim of Interests/Values,Wir setzen uns ein für eine EU-weite Ratifizierung der Istanbul-Konvention des Europarats als verbindliche Rechtsnorm gegen Gewalt an Frauen.
Claim of Interests/Values,"Unser Ziel ist es, Steueroasen trockenzulegen"
Claim of Interests/Values,"Unser Ziel ist es ein stabiles, faires und demokratisches Handelssystem zu etablieren."
Claim of Interests/Values,Wir stehen für das Primat der Politik
Claim of Interests/Values,Wir stehen für den bestmöglichen Schutz unserer Soldat*innen.
Claim of Interests/Values,Unser Ziel ist ein ständiger europäischer Sitz
Claim of Interests/Values,Wir stehen für eine lebendige Kulturszene und die Entfaltung individueller Kreativität.
Claim of Interests/Values,"Unser Ziel ist es, im Zuge der angestrebten Harmonisierung der Unternehmensbesteuerung in Europa den deutschen Sonderweg der Gewerbesteuer zu beenden."
Claim of Interests/Values,"Wir stehen für ein solidarisches und duales Gesundheitssystem, in dem die Wahlfreiheit der Versicherten durch Krankenkassen- und Krankenversicherungsvielfalt gewährleistet ist."
Claim of Interests/Values,"Unser Ziel ist ein kosteneffizientes, sicheres und weltweit vernetztes europäisches Gesamtsystem „Energieversorgung“."
Claim of Interests/Values,"Unser Ziel ist es, kostenverursachende Normen zu vermeiden und den Entscheiderinnen und Entscheidern eine transparente Grundlage für ihr Handeln zur Verfügung zu stellen."
Claim of Interests/Values,"Unser Ziel ist, so schnell wie möglich wieder zurück zu einer Normalität zu gelangen, die uns Liebgewonnenes und Vermisstes zurückgibt und in der wir klug das Morgen gestalten."
Claim of Interests/Values,"Unser Ziel ist ein umfassender transatlantischer Wirtschafts-, Handels- und Zukunftsraum."
Claim of Interests/Values,"Denn unser Ziel ist multilateraler, fairer und regelbasierter Handel,"
Claim of Interests/Values,"Unser Ziel ist es, dass Europa in den wichtigen industriellen Zukunftsfeldern wie Künstlicher Intelligenz, Quantentechnologie, Halbleiter, Wasserstoff oder Blockchain weltweit einen Spitzenplatz einnimmt."
Claim of Interests/Values,Unser Ziel ist eine wettbewerbsfähige Unternehmensbesteuerung.
Claim of Interests/Values,"Unser Ziel ist, die Treibhausgasemissionen Deutschlands bis 2030 um 65 Prozent gegenüber dem Referenzjahr 1990 zu reduzieren, um dann auf einem konkret beschriebenen Pfad im Jahr 2040 88 Prozent Minderung und im Jahr 2045 Treibhausgasneutralität zu erreichen."
Claim of Interests/Values,"Unser Ziel ist es, das Ladesäulennetz so auszubauen, dass die Lademöglichkeiten ein Grund für den Wechsel auf Elektromobilität sind."
Claim of Interests/Values,"Unser Ziel ist, Fleisch statt lebende Tiere zu transportieren."
Claim of Interests/Values,"Unser Ziel ist, den Landbau ökologisch verträglich und ökonomisch tragfähig weiterzuentwickeln - in Kooperation mit der Landwirtschaft und nicht gegen sie."
Claim of Interests/Values,"Unser Ziel ist es, Nachhaltigkeit in der Land- und Forstwirtschaft sichtbar, messbar und bezahlbar zu machen."
Claim of Interests/Values,"Unser Ziel ist, ernährungsmitbedingten Volkskrankheiten wie starkes Übergewicht, Diabetes oder Krebs noch besser vorbeugen zu können."
Claim of Interests/Values,Unser Ziel ist eine verpflichtende europäische Haltungs-/Tierwohlkennzeichnung
Claim of Interests/Values,"Wir stehen für eine zukunftsfeste Alterssicherung auf drei Säulen: der gesetzlichen Rentenversicherung, der betrieblichen und der privaten Vorsorge."
Claim of Interests/Values,"Unser Ziel ist es, mit einem attraktiven Instrumentenmix, Altersarmut wirksam zu vermeiden."
Claim of Interests/Values,Unser Ziel ist ein inklusiver erster Arbeitsmarkt.
Claim of Interests/Values,"Unser Ziel ist es, Deutschlands und Europas Unabhängigkeit zu stärken und die Wertschöpfungsketten souveränitätskritischer medizinischer Produkte in die EU zurückzuholen."
Claim of Interests/Values,Unser Ziel ist eine langfristig und generationengerecht angelegte Haushaltsführung im Bund.
Claim of Interests/Values,Wir stehen für Steuergerechtigkeit.
Claim of Interests/Values,"Unser Ziel ist es, die Mitarbeiterkapitalbeteiligung weiter zu verbessern."
Claim of Interests/Values,"Wir stehen für Familienfreundlichkeit und wollen, dass sich möglichst viele Menschen für ein Leben mit Kindern entscheiden."
Claim of Interests/Values,"Unser Ziel ist es, das Elterngeld weiter zu stärken"
Claim of Interests/Values,"Unser Ziel ist es, geschlechterspezifische Lohn- und Rentenlücken zu beseitigen."
Claim of Interests/Values,Wir setzen uns ein für familienfreundliche Anstellungsmodelle insbesondere in der Postdoc-Phase.
Claim of Interests/Values,"Unser Ziel ist ein Land, in dem jeder Einzelne lesen und schreiben kann."
Claim of Interests/Values,Unser Ziel ist: mindestens eine deutsche Universität in die Top 20 der Welt zu bringen.
Claim of Interests/Values,"Unser Ziel ist, dass Beteiligungen an Startups erst dann besteuert werden, wenn aus den Beteiligungen Gewinne erzielt oder die Anteile veräußert werden."
Claim of Interests/Values,Unser Ziel ist die besten Softwareentwickler und IT-Köpfe für unser Gemeinwesen zu gewinnen.
Claim of Interests/Values,"Unser Ziel ist es, bis spätestens 2024 alle weißen Flecken mit stationären oder mobilen Masten zu beseitigen und das Prinzip „neue Frequenzen nur gegen flächendeckende Versorgung“ gesetzlich festzuschreiben."
Claim of Interests/Values,"Unser Ziel ist, dass bis 2025 mehr als 1,5 Millionen neue Wohnungen entstehen."
Claim of Interests/Values,"Unser Ziel ist es, überall ein bedarfsgerechtes Grundangebot im öffentlichen Verkehr sicherzustellen - auch auf dem Land."
Claim of Interests/Values,"Wir stehen für die Pflege und den Erhalt alter Bräuche, Trachten und Volkstänze sowie heimatlichen Liedguts."
Claim of Interests/Values,"Unser Ziel ist es, die Medien- und Nachrichtenkompetenz aller Bürgerinnen und Bürger zu stärken."
Claim of Interests/Values,"Unser Ziel ist es, dass unsere Kinder auch morgen noch in unserer Region gut leben und arbeiten können und dass qualifizierte Arbeitsplätze für alle Menschen zur Verfügung stehen."
Claim of Interests/Values,Unser Ziel ist eine am Menschen orientierte und wohnortnahe medizinische Versorgung.
Proclamation,.Es ist Zeit für einen NEUEN ANFANG.
Proclamation,Es ist Zeit für die Wende in der deutschen Politik!
Proclamation,"Die Zukunft gehört nicht dem Sozialismus, sondern der Freiheit."
Proclamation,"Die Zukunft gehört nicht der Sowjetunion und ihrem kommunistischen Machtsystem, sondern dem Bund freier Völker."
Proclamation,"Die Zukunft gehört nicht dem Kollektiv des Zwangs, sondern dem Menschen als Ebenbild Gottes in der Freiheit mit Ordnung."
Proclamation,Es ist Zeit für einen Wechsel
Proclamation,Es ist Zeit für Taten.
Proclamation,Es ist Zeit für die Union.
Proclamation,"Und mit Edmund Stoiber ein Kanzlerkandidat, der handelt, weil er weiß: Es ist Zeit für Taten."
Proclamation,Mit der Mehrheit der Menschen verbinden uns eine Einsicht und ein Wille: Es ist Zeit für Taten.
Proclamation,Die Zukunft gehört nahezu emmissionsfreien Autos mit Sprit aus nachwachsenden Rohstoffen oder anderen erneuerbaren Energien.
Proclamation,"Es ist Zeit für einen Wechsel und dafür, dass BÜNDNIS 90/DIE GRÜNEN wieder Regierungsverantwortung übernehmen."
Proclamation,Es ist Zeit für echte Alternativen.
Proclamation,Es ist Zeit für mehr Gerechtigkeit!
Proclamation,Es ist Zeit für mehr Gerechtigkeit!
Proclamation,"Es ist Zeit für mehr Familie, beste Schulen und gute Pflege"
Proclamation,Es ist Zeit für moderne Ausbildung und sichere Arbeit
Proclamation,Es ist Zeit für eine starke Wirtschaft und Innovationen
Proclamation,Es ist Zeit für einen starken Sozialstaat
Proclamation,Es ist Zeit für Investitionen und gerechte Steuern
Proclamation,Es ist Zeit für ein gutes Leben – in der Stadt und auf dem Land
Proclamation,Es ist Zeit für eine gesunde und saubere Zukunft
Proclamation,Es ist Zeit für mehr Sicherheit im Alltag
Proclamation,Es ist Zeit für eine geordnete Migrationspolitik
Proclamation,Es ist Zeit für eine offene und moderne Gesellschaft
Proclamation,Es ist Zeit für ein besseres Europa – sozialer und demokratischer
Proclamation,Es ist Zeit für mehr Frieden und Stabilität in der Welt
Proclamation,"Es ist Zeit für eine grundlegende Reform, die bereits im Grundsatzprogramm der AfD angelegt ist:Reduzierung der Steuer- und Abgabenquote"
Proclamation,Es ist Zeit für ein neues Normalarbeitsverhältnis.
Proclamation,"Es ist Zeit für politisch gesteuerte Verfahren, die die Benachteiligung beenden:"
Proclamation,Die Zukunft gehört den elektrischen Antrieben.
